feature,kept,drop_reason
二氧化硫_实测值_lag1,True,
二氧化硫_实测值_diff1,True,
二氧化硫_实测值_rate1,True,
二氧化硫_实测值_roll_mean_5,True,
二氧化硫_实测值_roll_std_5,True,
二氧化硫_实测值_roll_min_5,True,
二氧化硫_实测值_roll_max_5,True,
二氧化硫_实测值_amp_5,True,
二氧化硫_实测值_roll_mean_10,True,
二氧化硫_实测值_roll_std_10,True,
二氧化硫_实测值_roll_min_10,True,
二氧化硫_实测值_roll_max_10,True,
二氧化硫_实测值_amp_10,True,
二氧化硫_实测值_roll_mean_30,True,
二氧化硫_实测值_roll_std_30,True,
二氧化硫_实测值_roll_min_30,True,
二氧化硫_实测值_roll_max_30,True,
二氧化硫_实测值_amp_30,True,
二氧化硫_实测值_roll_mean_60,True,
二氧化硫_实测值_roll_std_60,True,
二氧化硫_实测值_roll_min_60,True,
二氧化硫_实测值_roll_max_60,True,
二氧化硫_实测值_amp_60,True,
废气排放量m3_lag1,True,
废气排放量m3_diff1,True,
废气排放量m3_rate1,True,
废气排放量m3_roll_mean_5,True,
废气排放量m3_roll_std_5,True,
废气排放量m3_roll_min_5,True,
废气排放量m3_roll_max_5,True,
废气排放量m3_amp_5,True,
废气排放量m3_roll_mean_10,True,
废气排放量m3_roll_std_10,True,
废气排放量m3_roll_min_10,True,
废气排放量m3_roll_max_10,True,
废气排放量m3_amp_10,True,
废气排放量m3_roll_mean_30,True,
废气排放量m3_roll_std_30,True,
废气排放量m3_roll_min_30,True,
废气排放量m3_roll_max_30,True,
废气排放量m3_amp_30,True,
废气排放量m3_roll_mean_60,True,
废气排放量m3_roll_std_60,True,
废气排放量m3_roll_min_60,True,
废气排放量m3_roll_max_60,True,
废气排放量m3_amp_60,True,
氧含量_lag1,True,
氧含量_diff1,True,
氧含量_rate1,True,
氧含量_roll_mean_5,True,
氧含量_roll_std_5,True,
氧含量_roll_min_5,True,
氧含量_roll_max_5,True,
氧含量_amp_5,True,
氧含量_roll_mean_10,True,
氧含量_roll_std_10,True,
氧含量_roll_min_10,True,
氧含量_roll_max_10,True,
氧含量_amp_10,True,
氧含量_roll_mean_30,True,
氧含量_roll_std_30,True,
氧含量_roll_min_30,True,
氧含量_roll_max_30,True,
氧含量_amp_30,True,
氧含量_roll_mean_60,True,
氧含量_roll_std_60,True,
氧含量_roll_min_60,True,
氧含量_roll_max_60,True,
氧含量_amp_60,True,
氮氧化物_实测值_lag1,True,
氮氧化物_实测值_diff1,True,
氮氧化物_实测值_rate1,True,
氮氧化物_实测值_roll_mean_5,True,
氮氧化物_实测值_roll_std_5,True,
氮氧化物_实测值_roll_min_5,True,
氮氧化物_实测值_roll_max_5,True,
氮氧化物_实测值_amp_5,True,
氮氧化物_实测值_roll_mean_10,True,
氮氧化物_实测值_roll_std_10,True,
氮氧化物_实测值_roll_min_10,True,
氮氧化物_实测值_roll_max_10,True,
氮氧化物_实测值_amp_10,True,
氮氧化物_实测值_roll_mean_30,True,
氮氧化物_实测值_roll_std_30,True,
氮氧化物_实测值_roll_min_30,True,
氮氧化物_实测值_roll_max_30,True,
氮氧化物_实测值_amp_30,True,
氮氧化物_实测值_roll_mean_60,True,
氮氧化物_实测值_roll_std_60,True,
氮氧化物_实测值_roll_min_60,True,
氮氧化物_实测值_roll_max_60,True,
氮氧化物_实测值_amp_60,True,
烟尘_实测值_lag1,True,
烟尘_实测值_diff1,True,
烟尘_实测值_rate1,True,
烟尘_实测值_roll_mean_5,True,
烟尘_实测值_roll_std_5,True,
烟尘_实测值_roll_min_5,True,
烟尘_实测值_roll_max_5,True,
烟尘_实测值_amp_5,True,
烟尘_实测值_roll_mean_10,True,
烟尘_实测值_roll_std_10,True,
烟尘_实测值_roll_min_10,True,
烟尘_实测值_roll_max_10,True,
烟尘_实测值_amp_10,True,
烟尘_实测值_roll_mean_30,True,
烟尘_实测值_roll_std_30,True,
烟尘_实测值_roll_min_30,True,
烟尘_实测值_roll_max_30,True,
烟尘_实测值_amp_30,True,
烟尘_实测值_roll_mean_60,True,
烟尘_实测值_roll_std_60,True,
烟尘_实测值_roll_min_60,True,
烟尘_实测值_roll_max_60,True,
烟尘_实测值_amp_60,True,
烟气压力_lag1,True,
烟气压力_diff1,True,
烟气压力_rate1,True,
烟气压力_roll_mean_5,True,
烟气压力_roll_std_5,True,
烟气压力_roll_min_5,True,
烟气压力_roll_max_5,True,
烟气压力_amp_5,True,
烟气压力_roll_mean_10,True,
烟气压力_roll_std_10,True,
烟气压力_roll_min_10,True,
烟气压力_roll_max_10,True,
烟气压力_amp_10,True,
烟气压力_roll_mean_30,True,
烟气压力_roll_std_30,True,
烟气压力_roll_min_30,True,
烟气压力_roll_max_30,True,
烟气压力_amp_30,True,
烟气压力_roll_mean_60,True,
烟气压力_roll_std_60,True,
烟气压力_roll_min_60,True,
烟气压力_roll_max_60,True,
烟气压力_amp_60,True,
烟气流速_lag1,True,
烟气流速_diff1,True,
烟气流速_rate1,True,
烟气流速_roll_mean_5,True,
烟气流速_roll_std_5,True,
烟气流速_roll_min_5,True,
烟气流速_roll_max_5,True,
烟气流速_amp_5,True,
烟气流速_roll_mean_10,True,
烟气流速_roll_std_10,True,
烟气流速_roll_min_10,True,
烟气流速_roll_max_10,True,
烟气流速_amp_10,True,
烟气流速_roll_mean_30,True,
烟气流速_roll_std_30,True,
烟气流速_roll_min_30,True,
烟气流速_roll_max_30,True,
烟气流速_amp_30,True,
烟气流速_roll_mean_60,True,
烟气流速_roll_std_60,True,
烟气流速_roll_min_60,True,
烟气流速_roll_max_60,True,
烟气流速_amp_60,True,
烟气温度_lag1,True,
烟气温度_diff1,True,
烟气温度_rate1,True,
烟气温度_roll_mean_5,True,
烟气温度_roll_std_5,True,
烟气温度_roll_min_5,True,
烟气温度_roll_max_5,True,
烟气温度_amp_5,True,
烟气温度_roll_mean_10,True,
烟气温度_roll_std_10,True,
烟气温度_roll_min_10,True,
烟气温度_roll_max_10,True,
烟气温度_amp_10,True,
烟气温度_roll_mean_30,True,
烟气温度_roll_std_30,True,
烟气温度_roll_min_30,True,
烟气温度_roll_max_30,True,
烟气温度_amp_30,True,
烟气温度_roll_mean_60,True,
烟气温度_roll_std_60,True,
烟气温度_roll_min_60,True,
烟气温度_roll_max_60,True,
烟气温度_amp_60,True,
烟气湿度_lag1,True,
烟气湿度_diff1,True,
烟气湿度_rate1,True,
烟气湿度_roll_mean_5,True,
烟气湿度_roll_std_5,True,
烟气湿度_roll_min_5,True,
烟气湿度_roll_max_5,True,
烟气湿度_amp_5,True,
烟气湿度_roll_mean_10,True,
烟气湿度_roll_std_10,True,
烟气湿度_roll_min_10,True,
烟气湿度_roll_max_10,True,
烟气湿度_amp_10,True,
烟气湿度_roll_mean_30,True,
烟气湿度_roll_std_30,True,
烟气湿度_roll_min_30,True,
烟气湿度_roll_max_30,True,
烟气湿度_amp_30,True,
烟气湿度_roll_mean_60,True,
烟气湿度_roll_std_60,True,
烟气湿度_roll_min_60,True,
烟气湿度_roll_max_60,True,
烟气湿度_amp_60,True,
折算值_lag1,True,
折算值_diff1,True,
折算值_rate1,True,
折算值_roll_mean_5,True,
折算值_roll_std_5,True,
折算值_roll_min_5,True,
折算值_roll_max_5,True,
折算值_amp_5,True,
折算值_roll_mean_10,True,
折算值_roll_std_10,True,
折算值_roll_min_10,True,
折算值_roll_max_10,True,
折算值_amp_10,True,
折算值_roll_mean_30,True,
折算值_roll_std_30,True,
折算值_roll_min_30,True,
折算值_roll_max_30,True,
折算值_amp_30,True,
折算值_roll_mean_60,True,
折算值_roll_std_60,True,
折算值_roll_min_60,True,
折算值_roll_max_60,True,
折算值_amp_60,True,
排放量kg_lag1,True,
排放量kg_diff1,True,
排放量kg_rate1,True,
排放量kg_roll_mean_5,True,
排放量kg_roll_std_5,True,
排放量kg_roll_min_5,True,
排放量kg_roll_max_5,True,
排放量kg_amp_5,True,
排放量kg_roll_mean_10,True,
排放量kg_roll_std_10,True,
排放量kg_roll_min_10,True,
排放量kg_roll_max_10,True,
排放量kg_amp_10,True,
排放量kg_roll_mean_30,True,
排放量kg_roll_std_30,True,
排放量kg_roll_min_30,True,
排放量kg_roll_max_30,True,
排放量kg_amp_30,True,
排放量kg_roll_mean_60,True,
排放量kg_roll_std_60,True,
排放量kg_roll_min_60,True,
排放量kg_roll_max_60,True,
排放量kg_amp_60,True,
二氧化硫_实测值_exceed_2sigma_cnt_10,True,
二氧化硫_实测值_exceed_2sigma_cnt_30,True,
二氧化硫_实测值_exceed_2sigma_cnt_60,True,
废气排放量m3_exceed_2sigma_cnt_10,True,
废气排放量m3_exceed_2sigma_cnt_30,True,
废气排放量m3_exceed_2sigma_cnt_60,True,
氧含量_exceed_2sigma_cnt_10,True,
氧含量_exceed_2sigma_cnt_30,True,
氧含量_exceed_2sigma_cnt_60,True,
氮氧化物_实测值_exceed_2sigma_cnt_10,True,
氮氧化物_实测值_exceed_2sigma_cnt_30,True,
氮氧化物_实测值_exceed_2sigma_cnt_60,True,
烟尘_实测值_exceed_2sigma_cnt_10,True,
烟尘_实测值_exceed_2sigma_cnt_30,True,
烟尘_实测值_exceed_2sigma_cnt_60,True,
烟气压力_exceed_2sigma_cnt_10,True,
烟气压力_exceed_2sigma_cnt_30,True,
烟气压力_exceed_2sigma_cnt_60,True,
烟气流速_exceed_2sigma_cnt_10,True,
烟气流速_exceed_2sigma_cnt_30,True,
烟气流速_exceed_2sigma_cnt_60,True,
烟气温度_exceed_2sigma_cnt_10,True,
烟气温度_exceed_2sigma_cnt_30,True,
烟气温度_exceed_2sigma_cnt_60,True,
烟气湿度_exceed_2sigma_cnt_10,True,
烟气湿度_exceed_2sigma_cnt_30,True,
烟气湿度_exceed_2sigma_cnt_60,True,
折算值_exceed_2sigma_cnt_10,True,
折算值_exceed_2sigma_cnt_30,True,
折算值_exceed_2sigma_cnt_60,True,
排放量kg_exceed_2sigma_cnt_10,True,
排放量kg_exceed_2sigma_cnt_30,True,
排放量kg_exceed_2sigma_cnt_60,True,
